,instrument,alpha,key,text,label_raw,label_ocean
864,NEO5-20,0.89,1,Enjoy wild flights of fantasy,Openness To Experience,O
865,NEO5-20,0.91,1,Fear for the worst,Neuroticism,N
866,NEO5-20,0.9,1,Finish what you start,Conscientiousness,C
867,NEO5-20,0.9,1,Follow through with your plans,Conscientiousness,C
868,NEO5-20,0.89,1,Get excited by new ideas,Openness To Experience,O
869,NEO5-20,0.89,1,Have a rich vocabulary,Openness To Experience,O
870,NEO5-20,0.85,-1,Have a sharp tongue,Agreeableness,A
871,NEO5-20,0.89,1,Have a vivid imagination,Openness To Experience,O
872,NEO5-20,0.89,-1,Have difficulty understanding abstract ideas,Openness To Experience,O
873,NEO5-20,0.91,-1,Keep others at a distance,Extraversion,E
874,NEO5-20,0.9,-1,Leave things unfinished,Conscientiousness,C
875,NEO5-20,0.85,-1,Make demands on others,Agreeableness,A
876,NEO5-20,0.9,-1,Mess things up,Conscientiousness,C
877,NEO5-20,0.9,-1,Need a push to get started,Conscientiousness,C
878,NEO5-20,0.91,1,Often feel blue,Neuroticism,N
879,NEO5-20,0.89,-1,Rarely look for a deeper meaning in things,Openness To Experience,O
880,NEO5-20,0.91,-1,Remain calm under pressure,Neuroticism,N
881,NEO5-20,0.85,1,Respect others,Agreeableness,A
882,NEO5-20,0.91,-1,Retreat from others,Extraversion,E
883,NEO5-20,0.91,-1,Seldom get mad,Neuroticism,N
884,NEO5-20,0.85,-1,Suspect hidden motives in others,Agreeableness,A
885,NEO5-20,0.89,-1,Tend to vote for conservative political candidates,Openness To Experience,O
886,NEO5-20,0.89,1,Tend to vote for liberal political candidates,Openness To Experience,O
887,NEO5-20,0.85,1,Treat all people equally,Agreeableness,A
888,NEO5-20,0.85,1,Trust what people say,Agreeableness,A
889,NEO5-20,0.91,1,Warm up quickly to others,Extraversion,E
890,ORAIS,0.82,1,Had someone over for dinner,Gregariousness,E
891,ORAIS,0.82,1,Planned a party,Gregariousness,E
892,ORAIS,0.82,1,Went to a large party,Gregariousness,E
893,ORAIS,0.82,1,Went to a small party,Gregariousness,E
894,ORVIS,0.82,1,Are a bounty hunter,Adventurousness,O
895,ORVIS,0.86,1,Are a counselor or therapist,Altruism,A
896,ORVIS,0.86,1,Are a doctor or nurse,Altruism,A
897,ORVIS,0.82,1,Are a long-distance bicycle rider,Adventurousness,O
898,ORVIS,0.82,1,Are a military officer,Adventurousness,O
899,ORVIS,0.86,1,"Are a minister, priest, rabbi or other religious teacher",Altruism,A
900,ORVIS,0.86,1,Are a physical therapist,Altruism,A
901,ORVIS,0.82,1,Are a police officer,Adventurousness,O
902,ORVIS,0.82,1,Are a professional athlete,Adventurousness,O
903,ORVIS,0.82,1,Are a racing car driver,Adventurousness,O
904,ORVIS,0.86,1,Are a social worker,Altruism,A
905,ORVIS,0.86,1,Are an elementary-school teacher,Altruism,A
906,ORVIS,0.86,1,Care for sick people,Altruism,A
907,ORVIS,0.82,1,Compete in athletic events,Adventurousness,O
908,ORVIS,0.86,1,Counsel persons who need help,Altruism,A
909,ORVIS,0.82,1,Engage in exciting adventures,Adventurousness,O
910,ORVIS,0.82,1,Face physical danger,Adventurousness,O
911,ORVIS,0.86,1,Help others learn new ideas,Altruism,A
912,ORVIS,0.86,1,Help people make career decisions,Altruism,A
913,ORVIS,0.86,1,Instruct parents on child care,Altruism,A
914,ORVIS,0.86,1,Participate in charity events,Altruism,A
915,ORVIS,0.86,1,Provide comfort and support to others,Altruism,A
916,ORVIS,0.82,1,Survive in the wilderness,Adventurousness,O
917,Radloff1977,0.93,1,Could not get going,Depression,N
918,Radloff1977,0.93,1,"Did not feel like eating, even though you should have been hungry.",Depression,N
919,Radloff1977,0.93,-1,Enjoyed life,Depression,N
920,Radloff1977,0.93,1,Felt depressed,Depression,N
921,Radloff1977,0.93,1,Felt fearful,Depression,N
922,Radloff1977,0.93,-1,Felt happy,Depression,N
923,Radloff1977,0.93,-1,Felt hopeful about the future,Depression,N
924,Radloff1977,0.93,1,Felt lonely,Depression,N
925,Radloff1977,0.93,1,Felt sad,Depression,N
926,Radloff1977,0.93,1,Felt that everything you did was an effort,Depression,N
927,Radloff1977,0.93,1,"Felt that you could not shake off the blues, even with help from your family or friends.",Depression,N
928,Radloff1977,0.93,1,Felt that people disliked me,Depression,N
929,Radloff1977,0.93,1,Had a poor appetite,Depression,N
930,Radloff1977,0.93,1,Had crying spells,Depression,N
931,Radloff1977,0.93,1,Had restless sleep,Depression,N
932,Radloff1977,0.93,1,Had thoughts about death,Depression,N
933,Radloff1977,0.93,1,Had trouble keeping your mind on what you was doing,Depression,N
934,Radloff1977,0.93,1,Talked less than usual,Depression,N
935,Radloff1977,0.93,1,Thought about killing yourself,Depression,N
936,Radloff1977,0.93,1,Thought your life had been a failure,Depression,N
937,Radloff1977,0.93,1,Was bothered by things that usually don't bother me,Depression,N
938,Radloff1977,0.93,1,Was down in the dumps,Depression,N
939,TCI,0.73,1,Acknowledge others' accomplishments,Trust,A
940,TCI,0.66,1,Act according to your conscience,Morality,A
941,TCI,0.77,1,Are afraid of many things,Self-efficacy,C
942,TCI,0.73,1,Are nice to store clerks,Trust,A
943,TCI,0.78,-1,Are not interested in abstract ideas,Imagination,O
944,TCI,0.77,1,Are often down in the dumps,Self-efficacy,C
945,TCI,0.86,1,Are often in a bad mood,Neuroticism,N
946,TCI,0.77,1,Become overwhelmed by events,Self-efficacy,C
947,TCI,0.66,-1,Believe that the end justifies the means,Morality,A
948,TCI,0.77,-1,Can manage many things at the same time,Self-efficacy,C
949,TCI,0.77,-1,Can tackle anything,Self-efficacy,C
950,TCI,0.73,-1,Can't be bothered with other's needs,Trust,A
951,TCI,0.66,1,Care about justice,Morality,A
952,TCI,0.73,-1,Disregard the opinions of others,Trust,A
953,TCI,0.66,-1,Do the opposite of what is asked,Morality,A
954,TCI,0.84,1,Enjoy bringing people together,Friendliness,E
955,TCI,0.78,1,Experience your emotions intensely,Imagination,O
956,TCI,0.73,-1,Feel little concern for others,Trust,A
957,TCI,0.77,1,Feel that you are unable to deal with things,Self-efficacy,C
958,TCI,0.78,1,Get lost in your dreams,Imagination,O
959,TCI,0.78,1,Get so involved with things that you forget the time,Imagination,O
960,TCI,0.84,-1,Have difficulty expressing your feelings,Friendliness,E
961,TCI,0.73,1,Like to be of service to others,Trust,A
962,TCI,0.66,1,Listen to your conscience,Morality,A
963,TCI,0.66,-1,Misuse power,Morality,A
964,TCI,0.77,1,Need reassurance,Self-efficacy,C
965,TCI,0.78,1,Never give up,Achievement-striving,C
966,TCI,0.73,-1,Obstruct others' plans,Trust,A
967,TCI,0.73,-1,Pretend to be concerned for others,Trust,A
968,TCI,0.77,-1,Readily overcome setbacks,Self-efficacy,C
969,TCI,0.66,1,Return extra change when a cashier makes a mistake,Morality,A
970,TCI,0.66,1,Stand behind your actions,Morality,A
971,TCI,0.78,1,Take control of things,Achievement-striving,C
972,TCI,0.66,-1,Try to fool others,Morality,A
973,TCI,0.78,1,Try to lead others,Achievement-striving,C
974,TCI,0.73,1,Try to maintain a pleasant atmosphere,Trust,A
975,TCI,0.78,1,Try to outdo others,Achievement-striving,C
976,TCI,0.78,1,Try to surpass others' accomplishments,Achievement-striving,C
977,TCI,0.78,1,Want to be in charge,Achievement-striving,C
978,TCI,0.78,1,Want to be the very best,Achievement-striving,C
979,VIA,0.7,1,Are humble about the good things that have happened to me,Modesty/Humility,A
980,VIA,0.7,1,Are proud that you are an ordinary person,Modesty/Humility,A
981,VIA,0.7,1,Believe that others are drawn to you because you are humble,Modesty/Humility,A
982,VIA,0.7,1,Don't act is if you are a special person,Modesty/Humility,A
983,VIA,0.7,1,Don't brag about your accomplishments,Modesty/Humility,A
984,VIA,0.7,1,Don't call attention to yourself,Modesty/Humility,A
985,VIA,0.7,0,Feel that too much modesty gets a person in trouble,Modesty/Humility,A
986,VIA,0.7,-1,Like to stand out in a crowd,Modesty/Humility,A
987,VIA,0.7,-1,Like to talk about yourself,Modesty/Humility,A
988,VIA,0.7,1,Would never be described as arrogant,Modesty/Humility,A
